Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,hour,minute,Hour,Minute,Time_period,Is_peak_hour,Is_night,Is_weekend
Monday,18-30,Male,Above high school,Employee,1-2yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Unknown,Unknown,Not a Pedestrian,Moving Backward,17,2,17,2,Evening,1,0,0
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Overtaking,17,2,17,2,Evening,1,0,0
Monday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,  Recreational areas,other,Unknown,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Unknown,Not a Pedestrian,Changing lane to the left,17,2,17,2,Evening,1,0,0
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,Unknown,No defect,Office areas,other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,1,6,1,6,Night,0,1,1
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Unknown,Owner,5-10yrs,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Overtaking,1,6,1,6,Night,0,1,1
Friday,31-50,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Y Shape,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,U-Turn,Driver,Normal,Not a Pedestrian,Overloading,14,15,14,15,Afternoon,0,0,0
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,Other,17,30,17,30,Evening,1,0,0
Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,U-Turn,Unknown,Normal,Not a Pedestrian,No priority to vehicle,17,20,17,20,Evening,1,0,0
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,1-2yr,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Driver,Normal,Crossing from driver's nearside,Changing lane to the right,17,20,17,20,Evening,1,0,0
Friday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,U-Turn,Driver,Normal,Not a Pedestrian,Moving Backward,17,20,17,20,Evening,1,0,0
