hotspot_cluster,hotspot_label,accident_count,severe_accidents,fatal_accidents,severe_rate,Day_of_week,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Vehicle_movement,Cause_of_accident
0,Pattern Hotspot 0,3361,498,25,14.817018744421304,Thursday,Y Shape,Dry,Daylight,Normal,Going straight,Changing lane to the right
3,Pattern Hotspot 3,1653,250,14,15.12401693889897,Wednesday,Y Shape,Dry,Daylight,Normal,Moving Backward,Changing lane to the left
11,Pattern Hotspot 11,817,106,13,12.974296205630356,Saturday,Y Shape,Dry,Daylight,Normal,Going straight,Changing lane to the right
7,Pattern Hotspot 7,637,78,6,12.244897959183673,Wednesday,Y Shape,Dry,Daylight,Normal,Going straight,No distancing
8,Pattern Hotspot 8,419,78,15,18.615751789976134,Thursday,Y Shape,Dry,Darkness - lights lit,Normal,Going straight,No priority to vehicle
10,Pattern Hotspot 10,307,50,1,16.286644951140065,Wednesday,No junction,Dry,Daylight,Normal,Moving Backward,No distancing
4,Pattern Hotspot 4,300,39,0,13.0,Friday,Y Shape,Dry,Daylight,Normal,Going straight,Changing lane to the right
6,Pattern Hotspot 6,293,44,7,15.017064846416384,Saturday,No junction,Dry,Daylight,Normal,Going straight,Changing lane to the right
9,Pattern Hotspot 9,250,20,1,8.0,Friday,No junction,Dry,Daylight,Normal,Going straight,Changing lane to the right
15,Pattern Hotspot 15,214,33,0,15.42056074766355,Friday,Crossing,Dry,Daylight,Normal,Going straight,Changing lane to the right
26,Pattern Hotspot 26,199,25,3,12.562814070351758,Saturday,Y Shape,Dry,Daylight,Normal,Moving Backward,Changing lane to the right
29,Pattern Hotspot 29,186,25,0,13.440860215053762,Saturday,Crossing,Dry,Daylight,Normal,Other,No priority to vehicle
5,Pattern Hotspot 5,179,36,9,20.11173184357542,Sunday,No junction,Dry,Daylight,Normal,Moving Backward,Changing lane to the right
21,Pattern Hotspot 21,142,32,5,22.535211267605636,Friday,No junction,Dry,Daylight,Normal,Moving Backward,Changing lane to the left
14,Pattern Hotspot 14,128,33,7,25.78125,Saturday,No junction,Dry,Darkness - lights lit,Normal,Going straight,Changing lane to the right
