hotspot_cluster,accident_count,severe_accidents,fatal_accidents,severe_rate
0,3361,498,25,14.817018744421304
3,1653,250,14,15.12401693889897
11,817,106,13,12.974296205630356
7,637,78,6,12.244897959183673
8,419,78,15,18.615751789976134
10,307,50,1,16.286644951140065
4,300,39,0,13.0
6,293,44,7,15.017064846416384
9,250,20,1,8.0
15,214,33,0,15.42056074766355
26,199,25,3,12.562814070351758
29,186,25,0,13.440860215053762
5,179,36,9,20.11173184357542
21,142,32,5,22.535211267605636
14,128,33,7,25.78125
20,126,21,0,16.666666666666664
2,111,20,0,18.01801801801802
25,91,8,0,8.791208791208792
32,79,9,3,11.39240506329114
17,71,15,0,21.12676056338028
24,68,22,5,32.35294117647059
12,64,4,0,6.25
1,51,14,1,27.450980392156865
16,51,7,2,13.725490196078432
13,41,11,0,26.82926829268293
36,39,6,1,15.384615384615385
37,39,10,0,25.64102564102564
33,39,5,0,12.82051282051282
28,38,7,0,18.421052631578945
18,38,6,0,15.789473684210526
35,38,11,4,28.947368421052634
31,38,9,1,23.684210526315788
22,36,1,0,2.7777777777777777
23,35,11,4,31.428571428571427
39,35,2,0,5.714285714285714
40,34,5,1,14.705882352941178
42,31,4,0,12.903225806451612
48,29,6,0,20.689655172413794
19,28,3,1,10.714285714285714
30,28,2,0,7.142857142857142
41,28,6,2,21.428571428571427
44,27,3,1,11.11111111111111
43,25,4,0,16.0
34,25,1,0,4.0
49,24,5,0,20.833333333333336
38,23,3,2,13.043478260869565
45,23,3,2,13.043478260869565
51,22,3,1,13.636363636363635
27,21,0,0,0.0
47,20,1,0,5.0
50,19,2,0,10.526315789473683
46,18,2,0,11.11111111111111
